path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
nscc1741_XM/xumeng/1-PCM/21-PbTe/temperature/2-400k	md-amorphous	Pb Te	150 150	300	77508	400.0	400.0	50
nscc1741_XM/xumeng/1-PCM/21-PbTe/vdos/1-0-3000MD	md-amorphous	Pb Te	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/26-SiTe/vdos/1-0-3000MD	md-amorphous	Si Te	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/26-SiTe/8-300k	md-amorphous	Si Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/1-PCM/31-GaAs/vdos/1-0-3000MD	md-amorphous	Ga As	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/31-GaAs/vdos/2-0-300MD	md-amorphous	Ga As	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/3-MD-300k	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/4-MD-300k	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/1-20GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	1000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/2-10GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/0-EOS	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	100
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/4-50GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	1000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/3-35GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	1000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/MD/2-20GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/MD/3-35GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/MD/4-50GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/MD/1-10GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/MD/0-0GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/pressure/6-25GPa	md-amorphous	Sb Se	120 180	300	77508	300.0	300.0	1000
